country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Bermuda,Northern America,Northern America,18.39,No data,No data,No data,No data,No data,No data,No data,-,-
Canada,Northern America,Northern America,63.72,80.14,116.86,140.40,176.46,111.76,153.39,188.20,195.4,-36.67
United States,Northern America,Northern America,74.99,100.07,120.00,156.61,199.00,167.36,210.40,242.27,223.1,-15.90
